epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3511.88,1.43811,3.2517,1.52086,0.66593,0.42146,0.47597,0.318,1.41693,3.08087,1.56379,0.000175153,0.000175153,0.000175153
2,6889.5,1.35672,2.35318,1.45476,0.53949,0.52141,0.52281,0.34072,1.36432,2.44547,1.54815,0.00033892,0.00033892,0.00033892
3,10206.3,1.34474,2.09443,1.45225,0.53313,0.51536,0.54731,0.35251,1.37925,2.03053,1.54078,0.000491116,0.000491116,0.000491116
4,13620.4,1.3248,1.88499,1.42997,0.72738,0.5216,0.60382,0.38771,1.35044,1.8057,1.51814,0.000473926,0.000473926,0.000473926
5,16991.1,1.2842,1.7343,1.40069,0.68211,0.54934,0.61056,0.40293,1.32129,1.62644,1.47812,0.000456568,0.000456568,0.000456568
6,20312.1,1.2557,1.62585,1.38145,0.63076,0.60378,0.63657,0.42676,1.2457,1.51077,1.42327,0.00043921,0.00043921,0.00043921
7,23613.5,1.23589,1.53017,1.35784,0.69487,0.62425,0.65784,0.4434,1.24718,1.43259,1.40913,0.000421852,0.000421852,0.000421852
8,26987.9,1.21237,1.4766,1.34283,0.69768,0.60053,0.66593,0.45006,1.263,1.42481,1.4224,0.000404494,0.000404494,0.000404494
9,30982,1.20144,1.41296,1.33274,0.71241,0.65424,0.71546,0.4836,1.2144,1.29943,1.36589,0.000387136,0.000387136,0.000387136
10,34372.9,1.17369,1.37356,1.32216,0.72253,0.62987,0.71074,0.47561,1.22182,1.26666,1.3778,0.000369778,0.000369778,0.000369778
11,37647.3,1.16825,1.32021,1.30527,0.72758,0.6669,0.73226,0.49083,1.21912,1.22371,1.35866,0.00035242,0.00035242,0.00035242
12,40918.8,1.15685,1.2926,1.30156,0.73116,0.65434,0.72844,0.4945,1.19783,1.19011,1.35391,0.000335062,0.000335062,0.000335062
13,44381.2,1.13103,1.25488,1.28286,0.73883,0.65545,0.74147,0.50589,1.18325,1.20007,1.34346,0.000317704,0.000317704,0.000317704
14,47772.7,1.1262,1.22289,1.27748,0.68738,0.70212,0.75566,0.51407,1.1877,1.13462,1.33859,0.000300346,0.000300346,0.000300346
15,51100.1,1.11844,1.20005,1.27519,0.74263,0.68883,0.76307,0.52677,1.16579,1.10236,1.3217,0.000282988,0.000282988,0.000282988
16,54432.4,1.09408,1.16215,1.26178,0.70078,0.70632,0.76022,0.52439,1.16042,1.09888,1.31931,0.00026563,0.00026563,0.00026563
17,57824.4,1.09237,1.15366,1.25601,0.75805,0.70231,0.77296,0.5315,1.15507,1.07186,1.31567,0.000248272,0.000248272,0.000248272
18,61071.9,1.0849,1.11843,1.24903,0.7206,0.71822,0.77455,0.53625,1.14283,1.04615,1.3108,0.000230914,0.000230914,0.000230914
19,64283.1,1.06919,1.10451,1.24062,0.75255,0.71209,0.78369,0.54358,1.13367,1.0322,1.29198,0.000213556,0.000213556,0.000213556
20,67440.2,1.06202,1.08575,1.22974,0.76254,0.72358,0.78315,0.54089,1.13892,1.02336,1.30063,0.000196198,0.000196198,0.000196198
21,70551.2,1.08716,0.99746,1.26749,0.76145,0.72304,0.78768,0.54641,1.13553,0.99734,1.29753,0.00017884,0.00017884,0.00017884
22,74173.3,1.07137,0.97674,1.25267,0.7606,0.72016,0.79367,0.55734,1.11402,0.97822,1.28522,0.000161482,0.000161482,0.000161482
23,77620.9,1.06084,0.94674,1.25203,0.77472,0.73328,0.7956,0.55739,1.10948,0.96843,1.28202,0.000144124,0.000144124,0.000144124
24,80795.2,1.04368,0.92004,1.23712,0.7612,0.74261,0.80089,0.55713,1.11861,0.95508,1.28535,0.000126766,0.000126766,0.000126766
25,84031.2,1.0357,0.89131,1.22726,0.77754,0.72416,0.79928,0.55931,1.10724,0.9475,1.27019,0.000109408,0.000109408,0.000109408
26,87248.8,1.01739,0.87499,1.2201,0.78422,0.72005,0.80746,0.56904,1.10066,0.93599,1.26978,9.205e-05,9.205e-05,9.205e-05
27,90568.5,1.01283,0.86559,1.2174,0.78065,0.73984,0.81036,0.57109,1.09196,0.92326,1.26226,7.4692e-05,7.4692e-05,7.4692e-05
28,93618.7,1.00149,0.85273,1.20983,0.79255,0.72881,0.813,0.57415,1.09139,0.92009,1.26381,5.7334e-05,5.7334e-05,5.7334e-05
29,96673.7,0.98758,0.82134,1.19819,0.8061,0.7353,0.814,0.57514,1.08634,0.90651,1.25529,3.9976e-05,3.9976e-05,3.9976e-05
30,99757.5,0.98273,0.81364,1.19383,0.7921,0.73889,0.81424,0.57519,1.08268,0.90859,1.25518,2.2618e-05,2.2618e-05,2.2618e-05
